"Astronomical Low Tide","Astronomical High Tide","Avalanche","Blizzard","Coastal Flood","Cold/Wind Chill","Debris Flow","Dense Fog","Dense Smoke","Drought","Dust Devil","Dust Storm","Excessive Heat","Extreme Cold/Wind Chill","Flash Flood","Flood","Frost/Freeze","Funnel Cloud","Freezing Fog","Hail","Heat","Heavy Rain","Heavy Snow","High Surf","High Wind","Hurricane (Typhoon)","Ice Storm","Lake-Effect Snow","Lakeshore Flood","Lightning","Marine Hail","Marine High Wind","Marine Strong Wind","Marine Thunderstorm Wind","Rip Current","Seiche","Sleet","Storm Surge/Tide","Strong Wind","Thunderstorm Wind","Tornado","Tropical Depression","Tropical Storm","Tsunami","Volcanic Ash","Waterspout","Wildfire","Winter Storm","Winter Weather","Unknown"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNOW DROUGHT",NA,NA,"RECORD TEMPERATURES","LOW WIND CHILL","FLOOD FLOOD/FLASH","MINOR FLOOD","GLAZE ICE",NA,NA,"HAIL DAMAGE",NA,"HEAVY RAINFALL","HEAVY SNOW/HIGH WINDS",NA,"HIGH WIND AND HEAVY SNOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM DAMAGE",NA,NA,NA,NA,NA,NA,NA,NA,"ICE ROADS","NORMAL PRECIPITATION"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNSEASONABLY DRY",NA,NA,"RECORD WARM TEMPS.","PROLONG COLD","FLOOD/FLASH FLOOD","MINOR FLOODING","GLAZE",NA,NA,"HAIL FLOODING",NA,"HEAVY RAINS","HEAVY SNOW/HIGH WINDS/FREEZING",NA,"HIGH WIND DAMAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM W INDS",NA,NA,NA,NA,NA,NA,NA,NA,"ICE","NORTHERN LIGHTS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNSEASONABLY WARM AND DRY",NA,NA,"RECORD WARM","PROLONG COLD/SNOW","FLOOD/FLASH FLOODING","RIVER AND STREAM FLOOD","GLAZE/ICE STORM",NA,NA,"HAIL STORM",NA,"HEAVY RAINS/FLOODING","HEAVY SNOW/HIGH",NA,"HIGH WIND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND (G40)",NA,NA,NA,NA,NA,NA,NA,NA,"ICE/SNOW","OTHER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"VERY DRY",NA,NA,"RECORD WARMTH","RECORD  COLD","FLOOD/FLASH","RIVER FLOOD","HARD FREEZE",NA,NA,"HAIL",NA,"HEAVY SHOWER","HEAVY SNOW/ICE STORM",NA,"HIGH WIND/LOW WIND CHILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 50",NA,NA,NA,NA,NA,NA,NA,NA,"ICY ROADS","RECORD LOW"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RECORD/EXCESSIVE HEAT","RECORD COLD AND HIGH WIND","FLOOD/FLASH/FLOOD","RIVER FLOODING","PATCHY ICE",NA,NA,"HAIL(0.75)",NA,"HEAVY SHOWERS","HEAVY SNOW/ICE",NA,"HIGH WINDS 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 52",NA,NA,NA,NA,NA,NA,NA,NA,"LATE FREEZE","RED FLAG CRITERIA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEMPERATURE RECORD","RECORD COLD","FLOOD/FLASHFLOOD","RURAL FLOOD","SNOW FREEZING RAIN",NA,NA,"HAIL/ICY ROADS",NA,"HIGH WINDS HEAVY RAINS","HEAVY SNOW/SLEET",NA,"HIGH WINDS 57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 56",NA,NA,NA,NA,NA,NA,NA,NA,"LATE SEASON HAIL","SOUTHEAST"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNSEASONABLY HOT","RECORD COLD/FROST","LOCAL FLASH FLOOD","SMALL STREAM AND URBAN FLOOD",NA,NA,NA,"HAIL/WIND",NA,"HIGH WINDS/HEAVY RAIN","HEAVY SNOW/SQUALLS",NA,"HIGH WINDS 58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 59 MPH",NA,NA,NA,NA,NA,NA,NA,NA,"LATE SEASON SNOW","SUMMARY AUGUST 10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RECORD COOL","RAPIDLY RISING WATER","SMALL STREAM AND URBAN FLOODIN",NA,NA,NA,"HAIL/WINDS",NA,"HVY RAIN","HEAVY SNOW/WIND",NA,"HIGH WINDS 63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 59 MPH.",NA,NA,NA,NA,NA,NA,NA,NA,"LATE SEASON SNOWFALL","SUMMARY AUGUST 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEVERE COLD",NA,"SMALL STREAM AND",NA,NA,NA,"HAILSTORM",NA,"LOCALLY HEAVY RAIN","HEAVY SNOW/WINTER STORM",NA,"HIGH WINDS 66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 59",NA,NA,NA,NA,NA,NA,NA,NA,"LATE SNOW","SUMMARY AUGUST 17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNOW/ BITTER COLD",NA,"SMALL STREAM FLOOD",NA,NA,NA,"HAILSTORMS",NA,"PROLONGED RAIN","HIGH WIND/ BLIZZARD",NA,"HIGH WINDS 67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 60 MPH",NA,NA,NA,NA,NA,NA,NA,NA,"LIGHT FREEZING RAIN","SUMMARY AUGUST 2-3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WIND CHILL",NA,"SMALL STREAM FLOODING",NA,NA,NA,"NON SEVERE HAIL",NA,"RAIN (HEAVY)","HIGH WIND/BLIZZARD",NA,"HIGH WINDS 73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 65 MPH",NA,NA,NA,NA,NA,NA,NA,NA,"LIGHT SNOW AND SLEET","SUMMARY AUGUST 21"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WIND CHILL/HIGH WIND",NA,"SMALL STREAM URBAN FLOOD",NA,NA,NA,"SMALL HAIL",NA,"RAIN AND WIND","HIGH WIND/BLIZZARD/FREEZING RA",NA,"HIGH WINDS 76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 65MPH",NA,NA,NA,NA,NA,NA,NA,NA,"LIGHT SNOW","SUMMARY AUGUST 28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMALL STREAM",NA,NA,NA,"THUNDERSTORM HAIL",NA,"RAIN DAMAGE","HIGH WIND/HEAVY SNOW",NA,"HIGH WINDS 80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 69",NA,NA,NA,NA,NA,NA,NA,NA,"LIGHT SNOW/FLURRIES","SUMMARY AUGUST 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMALL STREAM/URBAN FLOOD",NA,NA,NA,"THUNDERSTORM HAIL",NA,"RAIN","MOUNTAIN SNOWS",NA,"HIGH WINDS 82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THUNDERSTORM WIND 98 MPH",NA,NA,NA,NA,NA,NA,NA,NA,"LIGHT SNOW/FREEZING PRECIP","SUMMARY AUGUST 7"
