Astronomical Low Tide,Astronomical High Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Frost/Freeze,Funnel Cloud,Freezing Fog,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind ,Hurricane (Typhoon),Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Hail,Marine High Wind,Marine Strong Wind,Marine Thunderstorm Wind,Rip Current,Seiche,Sleet,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Volcanic Ash,Waterspout,Wildfire,Winter Storm,Winter Weather,Unknown
,,,,,,,,,UNSEASONABLY WARM AND DRY,,,RECORD WARM,PROLONG COLD/SNOW,FLOOD/FLASH FLOODING,RIVER AND STREAM FLOOD,GLAZE/ICE STORM,,,HAIL STORM,,HEAVY RAINS/FLOODING,HEAVY SNOW/HIGH,,HIGH WIND,,,,,,,,,,,,,,,THUNDERSTORM WIND (G40),,,,,,,,,ICE/SNOW,RECORD LOW
,,,,,,,,,VERY DRY,,,RECORD WARMTH,RECORD  COLD,FLOOD/FLASH,RIVER FLOOD,HARD FREEZE,,,HAIL,,HEAVY SHOWER,HEAVY SNOW/ICE STORM,,HIGH WIND/LOW WIND CHILL,,,,,,,,,,,,,,,THUNDERSTORM WIND 50,,,,,,,,,ICY ROADS,RED FLAG CRITERIA
,,,,,,,,,,,,RECORD/EXCESSIVE HEAT,RECORD COLD AND HIGH WIND,FLOOD/FLASH/FLOOD,RIVER FLOODING,PATCHY ICE,,,HAIL(0.75),,HEAVY SHOWERS,HEAVY SNOW/ICE,,HIGH WINDS 55,,,,,,,,,,,,,,,THUNDERSTORM WIND 52,,,,,,,,,LATE FREEZE,SOUTHEAST
,,,,,,,,,,,,TEMPERATURE RECORD,RECORD COLD,FLOOD/FLASHFLOOD,RURAL FLOOD,SNOW FREEZING RAIN,,,HAIL/ICY ROADS,,HIGH WINDS HEAVY RAINS,HEAVY SNOW/SLEET,,HIGH WINDS 57,,,,,,,,,,,,,,,THUNDERSTORM WIND 56,,,,,,,,,LATE SEASON HAIL,SUMMARY AUGUST 10
,,,,,,,,,,,,UNSEASONABLY HOT,RECORD COLD/FROST,LOCAL FLASH FLOOD,SMALL STREAM AND URBAN FLOOD,,,,HAIL/WIND,,HIGH WINDS/HEAVY RAIN ,HEAVY SNOW/SQUALLS,,HIGH WINDS 58,,,,,,,,,,,,,,,THUNDERSTORM WIND 59 MPH,,,,,,,,,LATE SEASON SNOW,SUMMARY AUGUST 11
,,,,,,,,,,,,,RECORD COOL,RAPIDLY RISING WATER,SMALL STREAM AND URBAN FLOODIN,,,,HAIL/WINDS,,HVY RAIN,HEAVY SNOW/WIND,,HIGH WINDS 63,,,,,,,,,,,,,,,THUNDERSTORM WIND 59 MPH.,,,,,,,,,LATE SEASON SNOWFALL,SUMMARY AUGUST 17
,,,,,,,,,,,,,SEVERE COLD,,SMALL STREAM AND,,,,HAILSTORM,,LOCALLY HEAVY RAIN,HEAVY SNOW/WINTER STORM,,HIGH WINDS 66,,,,,,,,,,,,,,,THUNDERSTORM WIND 59,,,,,,,,,LATE SNOW,SUMMARY AUGUST 2-3
,,,,,,,,,,,,,SNOW/ BITTER COLD,,SMALL STREAM FLOOD,,,,HAILSTORMS,,PROLONGED RAIN,HIGH WIND/ BLIZZARD,,HIGH WINDS 67,,,,,,,,,,,,,,,THUNDERSTORM WIND 60 MPH,,,,,,,,,LIGHT FREEZING RAIN,SUMMARY AUGUST 21
,,,,,,,,,,,,,WIND CHILL,,SMALL STREAM FLOODING,,,,NON SEVERE HAIL,,RAIN (HEAVY),HIGH WIND/BLIZZARD,,HIGH WINDS 73,,,,,,,,,,,,,,,THUNDERSTORM WIND 65 MPH,,,,,,,,,LIGHT SNOW AND SLEET,SUMMARY AUGUST 28
,,,,,,,,,,,,,WIND CHILL/HIGH WIND,,SMALL STREAM URBAN FLOOD,,,,SMALL HAIL,,RAIN AND WIND,HIGH WIND/BLIZZARD/FREEZING RA,,HIGH WINDS 76,,,,,,,,,,,,,,,THUNDERSTORM WIND 65MPH,,,,,,,,,LIGHT SNOW,SUMMARY AUGUST 4
